Multiple factor analysis: principal,,,,,
component analysis for multitable,,,,,
and multiblock data sets,,,,,
"Herveâ Abdi1, Lynne J. Williams2 and Domininique Valentin3",,,,,
"Page 15, Figure (66), partial factor scores (F Matrix)",,,,,
,,original data (copy paste),,,
-1.037, 0.155,_1.037 0.155,,-1.037 0.155,
-1.179, 0.596,_1.179 0.596,,-1.179 0.596,
-0.213,-0.104,_0.213 _0.104,,-0.213 -0.104,
-0.946, 0.446,_0.946 0.446,,-0.946 0.446,
1.546 ,-0.676,1.546 _0.676,,1.546 -0.676,
1.176 ,-0.747,1.176 _0.747,,1.176 -0.747,
0.698 , 0.166,0.698 0.166,,0.698 0.166,
1.006 ,-0.063,1.006 _0.063,,1.006 -0.063,
-0.922, 0.486,_0.922 0.486,,-0.922 0.486,
0.189 ,-0.936,0.189 _0.936,,0.189 -0.936,
-0.643, 0.640,_0.643 0.640,,-0.643 0.640,
0.323 , 0.036,0.323 0.036,,0.323 0.036,